"","icd10_code","description","year","usage","prop_usage","icd10_code_description","name_lab"
"1","Z370","Single live birth","2012",649605,0.176195842775714,"Z370 - Single live birth",NA
"2","Z380","Singleton, born in hospital","2012",642154,0.174174868145713,"Z380 - Singleton, born in hospital",NA
"3","O701","Second degree perineal laceration during delivery","2012",161643,0.0438432964860104,"O701 - Second degree perineal laceration during delivery",NA
"4","O268","Other specified pregnancy-related conditions","2012",134863,0.0365796136794839,"O268 - Other specified pregnancy-related conditions",NA
"5","O368","Maternal care for other specified fetal problems","2012",108051,0.0293072513415979,"O368 - Maternal care for other specified fetal problems",NA
"6","O700","First degree perineal laceration during delivery","2012",96686,0.0262246615321814,"O700 - First degree perineal laceration during delivery",NA
"7","O721","Other immediate postpartum haemorrhage","2012",83814,0.0227333200428009,"O721 - Other immediate postpartum haemorrhage",NA
"8","O342","Maternal care due to uterine scar from previous surgery","2012",63651,0.0172644015802172,"O342 - Maternal care due to uterine scar from previous surgery",NA
"9","O800","Spontaneous vertex delivery","2012",63632,0.0172592481084724,"O800 - Spontaneous vertex delivery",NA
"10","O680","Labour and delivery complicated by fetal heart rate anomaly","2012",59653,0.0161800026309829,"O680 - Labour and delivery complicated by fetal heart rate anomaly",NA
"11","Z370","Single live birth","2013",627707,0.172158659563544,"Z370 - Single live birth",NA
"12","Z380","Singleton, born in hospital","2013",620064,0.170062444872543,"Z380 - Singleton, born in hospital",NA
"13","O701","Second degree perineal laceration during delivery","2013",159178,0.0436571061211773,"O701 - Second degree perineal laceration during delivery",NA
"14","O268","Other specified pregnancy-related conditions","2013",132119,0.0362357436556799,"O268 - Other specified pregnancy-related conditions",NA
"15","O368","Maternal care for other specified fetal problems","2013",116439,0.0319352534875659,"O368 - Maternal care for other specified fetal problems",NA
"16","O700","First degree perineal laceration during delivery","2013",92157,0.0252755275779903,"O700 - First degree perineal laceration during delivery",NA
"17","O721","Other immediate postpartum haemorrhage","2013",79124,0.0217010193917001,"O721 - Other immediate postpartum haemorrhage",NA
"18","O342","Maternal care due to uterine scar from previous surgery","2013",64760,0.0177614632198384,"O342 - Maternal care due to uterine scar from previous surgery",NA
"19","O680","Labour and delivery complicated by fetal heart rate anomaly","2013",59512,0.0163221154901023,"O680 - Labour and delivery complicated by fetal heart rate anomaly",NA
"20","O049","Medical abortion - Complete or unspecified, without complication","2013",55589,0.01524617015021,"O049 - Medical abortion - Complete or unspecified, without complication",NA
"21","Z370","Single live birth","2014",618747,0.167955074955151,"Z370 - Single live birth",NA
"22","Z380","Singleton, born in hospital","2014",613133,0.166431189116838,"Z380 - Singleton, born in hospital",NA
"23","O701","Second degree perineal laceration during delivery","2014",161059,0.0437184768850623,"O701 - Second degree perineal laceration during delivery",NA
"24","O368","Maternal care for other specified fetal problems","2014",140190,0.0380537149399715,"O368 - Maternal care for other specified fetal problems",NA
"25","O268","Other specified pregnancy-related conditions","2014",126042,0.0342133271878443,"O268 - Other specified pregnancy-related conditions",NA
