"codelist_name","year","total_usage"
"gestational_diabetes","2011",31030
"gestational_diabetes","2012",36040
"gestational_diabetes","2013",39510
"gestational_diabetes","2014",44850
"gestational_diabetes","2015",52360
"gestational_diabetes","2016",65930
"gestational_diabetes","2017",73470
"gestational_diabetes","2018",81100
"gestational_diabetes","2019",84980
"gestational_diabetes","2020",101235
"gestational_diabetes","2021",114255
"gestational_diabetes","2022",127370
"gestational_diabetes","2023",145880
"gestational_hypertension","2011",14530
"gestational_hypertension","2012",15120
"gestational_hypertension","2013",14985
"gestational_hypertension","2014",15935
"gestational_hypertension","2015",17975
"gestational_hypertension","2016",20210
"gestational_hypertension","2017",21065
"gestational_hypertension","2018",20410
"gestational_hypertension","2019",21960
"gestational_hypertension","2020",27130
"gestational_hypertension","2021",28880
"gestational_hypertension","2022",30195
"gestational_hypertension","2023",33790
"hypertension_pregnancy","2011",1020
"hypertension_pregnancy","2012",1160
"hypertension_pregnancy","2013",1315
"hypertension_pregnancy","2014",1785
"hypertension_pregnancy","2015",1810
"hypertension_pregnancy","2016",1965
"hypertension_pregnancy","2017",1910
"hypertension_pregnancy","2018",2025
"hypertension_pregnancy","2019",1350
"hypertension_pregnancy","2020",1130
"hypertension_pregnancy","2021",1210
"hypertension_pregnancy","2022",1330
"hypertension_pregnancy","2023",1225
"multiple_gestation","2011",16305
"multiple_gestation","2012",16760
"multiple_gestation","2013",18920
"multiple_gestation","2014",19480
"multiple_gestation","2015",19990
"multiple_gestation","2016",22475
"multiple_gestation","2017",21605
"multiple_gestation","2018",22355
"multiple_gestation","2019",18395
"multiple_gestation","2020",18035
"multiple_gestation","2021",19185
"multiple_gestation","2022",20575
"multiple_gestation","2023",20845
"preeclampsia","2011",7575
"preeclampsia","2012",8305
"preeclampsia","2013",8780
"preeclampsia","2014",9300
"preeclampsia","2015",9885
"preeclampsia","2016",11125
"preeclampsia","2017",11465
"preeclampsia","2018",11475
"preeclampsia","2019",11240
"preeclampsia","2020",12695
"preeclampsia","2021",13365
"preeclampsia","2022",13640
"preeclampsia","2023",14250
"pregnancy","2011",5135060
"pregnancy","2012",5156790
"pregnancy","2013",5272305
"pregnancy","2014",5556610
"pregnancy","2015",6052250
"pregnancy","2016",6823255
"pregnancy","2017",6904455
"pregnancy","2018",6630430
"pregnancy","2019",5885400
"pregnancy","2020",5898475
"pregnancy","2021",5955815
"pregnancy","2022",6176300
"pregnancy","2023",6224435
"stillbirth","2011",9260
"stillbirth","2012",9540
"stillbirth","2013",9170
"stillbirth","2014",9930
"stillbirth","2015",10465
"stillbirth","2016",11640
"stillbirth","2017",11480
"stillbirth","2018",11670
"stillbirth","2019",10460
"stillbirth","2020",10705
"stillbirth","2021",11090
"stillbirth","2022",10795
"stillbirth","2023",10395
