"","codelist_name","snomed_concept_id","description","year","usage","prop_usage","snomed_code_description","name_lab"
"1","gestational_diabetes","11687002","Gestational diabetes mellitus (disorder)","2011",31030,1,"11687002 - Gestational diabetes mellitus (disorder)",NA
"2","gestational_diabetes","11687002","Gestational diabetes mellitus (disorder)","2012",36040,1,"11687002 - Gestational diabetes mellitus (disorder)",NA
"3","gestational_diabetes","11687002","Gestational diabetes mellitus (disorder)","2013",39510,1,"11687002 - Gestational diabetes mellitus (disorder)",NA
"4","gestational_diabetes","11687002","Gestational diabetes mellitus (disorder)","2014",44850,1,"11687002 - Gestational diabetes mellitus (disorder)",NA
"5","gestational_diabetes","11687002","Gestational diabetes mellitus (disorder)","2015",52360,1,"11687002 - Gestational diabetes mellitus (disorder)",NA
"6","gestational_diabetes","11687002","Gestational diabetes mellitus (disorder)","2016",65930,1,"11687002 - Gestational diabetes mellitus (disorder)",NA
"7","gestational_diabetes","11687002","Gestational diabetes mellitus (disorder)","2017",73470,1,"11687002 - Gestational diabetes mellitus (disorder)",NA
"8","gestational_diabetes","11687002","Gestational diabetes mellitus (disorder)","2018",81020,0.99901356350185,"11687002 - Gestational diabetes mellitus (disorder)",NA
"9","gestational_diabetes","11687002","Gestational diabetes mellitus (disorder)","2019",84830,0.998234878795011,"11687002 - Gestational diabetes mellitus (disorder)",NA
"10","gestational_diabetes","11687002","Gestational diabetes mellitus (disorder)","2020",101010,0.99777744851089,"11687002 - Gestational diabetes mellitus (disorder)",NA
"11","gestational_diabetes","11687002","Gestational diabetes mellitus (disorder)","2021",114000,0.997768150190364,"11687002 - Gestational diabetes mellitus (disorder)",NA
"12","gestational_diabetes","11687002","Gestational diabetes mellitus (disorder)","2022",127080,0.997723168721049,"11687002 - Gestational diabetes mellitus (disorder)",NA
"13","gestational_diabetes","11687002","Gestational diabetes mellitus (disorder)","2023",145510,0.997463668768851,"11687002 - Gestational diabetes mellitus (disorder)","11687002 - Gestational diabetes mellitus (disorder)"
"14","gestational_diabetes","40791000119105","Postpartum gestational diabetes mellitus (disorder)","2018",40,0.000493218249075216,"40791000119105 - Postpartum gestational diabetes mellitus (disorder)",NA
"15","gestational_diabetes","40791000119105","Postpartum gestational diabetes mellitus (disorder)","2019",50,0.00058837373499647,"40791000119105 - Postpartum gestational diabetes mellitus (disorder)",NA
"16","gestational_diabetes","40791000119105","Postpartum gestational diabetes mellitus (disorder)","2020",80,0.000790240529461155,"40791000119105 - Postpartum gestational diabetes mellitus (disorder)",NA
"17","gestational_diabetes","40791000119105","Postpartum gestational diabetes mellitus (disorder)","2021",100,0.000875235219465231,"40791000119105 - Postpartum gestational diabetes mellitus (disorder)",NA
"18","gestational_diabetes","40791000119105","Postpartum gestational diabetes mellitus (disorder)","2022",110,0.000863625657533171,"40791000119105 - Postpartum gestational diabetes mellitus (disorder)",NA
"19","gestational_diabetes","40791000119105","Postpartum gestational diabetes mellitus (disorder)","2023",160,0.00109679188374006,"40791000119105 - Postpartum gestational diabetes mellitus (disorder)","40791000119105 - Postpartum gestational diabetes mellitus (disorder)"
"20","gestational_diabetes","40801000119106","Gestational diabetes mellitus complicating pregnancy (disorder)","2018",30,0.000369913686806412,"40801000119106 - Gestational diabetes mellitus complicating pregnancy (disorder)",NA
"21","gestational_diabetes","40801000119106","Gestational diabetes mellitus complicating pregnancy (disorder)","2019",80,0.000941397975994352,"40801000119106 - Gestational diabetes mellitus complicating pregnancy (disorder)",NA
"22","gestational_diabetes","40801000119106","Gestational diabetes mellitus complicating pregnancy (disorder)","2020",130,0.00128414086037438,"40801000119106 - Gestational diabetes mellitus complicating pregnancy (disorder)",NA
"23","gestational_diabetes","40801000119106","Gestational diabetes mellitus complicating pregnancy (disorder)","2021",140,0.00122532930725132,"40801000119106 - Gestational diabetes mellitus complicating pregnancy (disorder)",NA
"24","gestational_diabetes","40801000119106","Gestational diabetes mellitus complicating pregnancy (disorder)","2022",170,0.00133469419800581,"40801000119106 - Gestational diabetes mellitus complicating pregnancy (disorder)",NA
"25","gestational_diabetes","40801000119106","Gestational diabetes mellitus complicating pregnancy (disorder)","2023",170,0.00116534137647381,"40801000119106 - Gestational diabetes mellitus complicating pregnancy (disorder)","40801000119106 - Gestational diabetes mellitus complicating pregnancy (disorder)"
"26","gestational_diabetes","46894009","Gestational diabetes mellitus class A2 (disorder)","2023",10,6.85494927337538e-05,"46894009 - Gestational diabetes mellitus class A2 (disorder)","46894009 - Gestational diabetes mellitus class A2 (disorder)"
"27","gestational_diabetes","46894009","Gestational diabetes mellitus, class A>2< (disorder)","2018",5,6.1652281134402e-05,"46894009 - Gestational diabetes mellitus, class A>2< (disorder)",NA
"28","gestational_diabetes","46894009","Gestational diabetes mellitus, class A>2< (disorder)","2019",10,0.000117674746999294,"46894009 - Gestational diabetes mellitus, class A>2< (disorder)",NA
"29","gestational_diabetes","46894009","Gestational diabetes mellitus, class A>2< (disorder)","2020",5,4.93900330913222e-05,"46894009 - Gestational diabetes mellitus, class A>2< (disorder)",NA
"30","gestational_diabetes","46894009","Gestational diabetes mellitus, class A>2< (disorder)","2021",5,4.37617609732616e-05,"46894009 - Gestational diabetes mellitus, class A>2< (disorder)",NA
"31","gestational_diabetes","75022004","Gestational diabetes mellitus class A1 (disorder)","2022",10,7.85114234121065e-05,"75022004 - Gestational diabetes mellitus class A1 (disorder)",NA
"32","gestational_diabetes","75022004","Gestational diabetes mellitus class A1 (disorder)","2023",30,0.000205648478201261,"75022004 - Gestational diabetes mellitus class A1 (disorder)","75022004 - Gestational diabetes mellitus class A1 (disorder)"
"33","gestational_diabetes","75022004","Gestational diabetes mellitus, class A>1< (disorder)","2018",5,6.1652281134402e-05,"75022004 - Gestational diabetes mellitus, class A>1< (disorder)",NA
"34","gestational_diabetes","75022004","Gestational diabetes mellitus, class A>1< (disorder)","2019",10,0.000117674746999294,"75022004 - Gestational diabetes mellitus, class A>1< (disorder)",NA
"35","gestational_diabetes","75022004","Gestational diabetes mellitus, class A>1< (disorder)","2020",10,9.87800661826443e-05,"75022004 - Gestational diabetes mellitus, class A>1< (disorder)",NA
"36","gestational_diabetes","75022004","Gestational diabetes mellitus, class A>1< (disorder)","2021",10,8.75235219465231e-05,"75022004 - Gestational diabetes mellitus, class A>1< (disorder)",NA
"37","gestational_hypertension","15938005","Eclampsia (disorder)","2011",250,0.0172057811424639,"15938005 - Eclampsia (disorder)",NA
"38","gestational_hypertension","15938005","Eclampsia (disorder)","2012",170,0.0112433862433862,"15938005 - Eclampsia (disorder)",NA
"39","gestational_hypertension","15938005","Eclampsia (disorder)","2013",210,0.014014014014014,"15938005 - Eclampsia (disorder)",NA
"40","gestational_hypertension","15938005","Eclampsia (disorder)","2014",190,0.011923438970819,"15938005 - Eclampsia (disorder)",NA
"41","gestational_hypertension","15938005","Eclampsia (disorder)","2015",250,0.0139082058414465,"15938005 - Eclampsia (disorder)",NA
"42","gestational_hypertension","15938005","Eclampsia (disorder)","2016",270,0.0133597229094508,"15938005 - Eclampsia (disorder)",NA
"43","gestational_hypertension","15938005","Eclampsia (disorder)","2017",280,0.0132921908378827,"15938005 - Eclampsia (disorder)",NA
"44","gestational_hypertension","15938005","Eclampsia (disorder)","2018",290,0.0142087212150906,"15938005 - Eclampsia (disorder)",NA
"45","gestational_hypertension","15938005","Eclampsia (disorder)","2019",280,0.0127504553734062,"15938005 - Eclampsia (disorder)",NA
"46","gestational_hypertension","15938005","Eclampsia (disorder)","2020",280,0.0103206782159971,"15938005 - Eclampsia (disorder)",NA
"47","gestational_hypertension","15938005","Eclampsia (disorder)","2021",300,0.010387811634349,"15938005 - Eclampsia (disorder)",NA
"48","gestational_hypertension","15938005","Eclampsia (disorder)","2022",330,0.0109289617486339,"15938005 - Eclampsia (disorder)",NA
"49","gestational_hypertension","15938005","Eclampsia (disorder)","2023",290,0.00858242083456644,"15938005 - Eclampsia (disorder)","15938005 - Eclampsia (disorder)"
"50","gestational_hypertension","198942000","Benign essential hypertension complicating pregnancy, childbirth and the puerperium (disorder)","2011",250,0.0172057811424639,"198942000 - Benign essential hypertension complicating pregnancy, childbirth and the puerperium (disorder)",NA
"51","gestational_hypertension","198942000","Benign essential hypertension complicating pregnancy, childbirth and the puerperium (disorder)","2012",270,0.0178571428571429,"198942000 - Benign essential hypertension complicating pregnancy, childbirth and the puerperium (disorder)",NA
